id,bitter,meaty,salty,sour,sweet,piquant,ingredients,recipeName,smallImageUrls,totalTimeInSeconds,rating,sourceDisplayName
"Tomato_-Onion_-And-Herb-Omelet-1939451","0.16666666666666666","0.16666666666666666","0.3333333333333333","0.3333333333333333","0.16666666666666666","0.0","large-eggs salt freshly-ground-black-pepper extra-virgin-olive-oil grape-tomatoes purple-onion fresh-basil-leaves","Tomato, Onion, And Herb Omelet","https://lh3.googleusercontent.com/PrSH_BoxsBVdq4BjHpAsj0eoaKxDbkvsqjWVhIYjWCFkM_SfjwhXxiVv5gvaB-BqLBYcj0H1IrDSSmgwtCD9=s90","900","4","Lori Zanini"
"Healthy-Baked-Avocado-Fries-1932824","0.8333333333333334","0.6666666666666666","0.5","0.6666666666666666","0.16666666666666666","0.5","avocado eggs bread-crumbs paprika olive-oil salt","Healthy Baked Avocado Fries","https://lh3.googleusercontent.com/XScoBNMoeyz6Hp16VUXKDUlmBlZ-fgPFNurrmhDu1IPW7aJNIJdF10_dsTvB_WSFlgnQ-h6ySmGFIiZ_vqfpYv4=s90","1200","4","In The Kids Kitchen"
"How-to-make-french-toast-306796","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.3333333333333333","0.0","milk eggs sugar cinnamon salt challa butter-oil","How to Make French Toast","http://lh6.ggpht.com/-cQGwMqmZ-zquTNj4ff030l1VXvmSPaoflfTRJzAdIwdXd5zERT0jPjTQT5lDlg6MEIOciOis2DxwX5YCg1Drg=s90","1200","5","Food Republic"
"Quick-and-Easy-4-Ingredient-Dinner-1558225","0.16666666666666666","0.5","0.16666666666666666","0.5","0.16666666666666666","0.0","bone-in-skin-on-chicken-thighs baby-potatoes baby-carrots olive-oil salt pepper","Quick and Easy 4 Ingredient Dinner","https://lh3.googleusercontent.com/DbHQBf0uR1OQkJlF_s1D7E04lip5HOf3k_Gzs6TdFt5WZ96qUWhsghCcE5fTDjUC1odvrHmP4GwgGkxrQRM8NQ=s90","4500","4","Sweet Somethings"
"Bacon-and-cheese-egg-mcmuffin-cups-334789","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.0","0.16666666666666666","0.0","English-muffins cooked-bacon shredded-cheddar-cheese large-eggs kosher-salt","Bacon and Cheese Egg McMuffin Cups","http://lh4.ggpht.com/8ZpEj6PtWeIYJwfN_5OI2OJcxDWMhZqB281lw6A6sKHpXDQXrx12H9AMucatGiMGbEhV5UnUzD1jM8Z31qbV9Fk=s90","2100","5","Picky Palate"
"Plum-Perfect-Muffins-2040978","0.5","0.16666666666666666","0.3333333333333333","0.3333333333333333","0.6666666666666666","0.0","canola-oil eggs bananas vanilla-extract all-purpose-flour whole-wheat-flour dark-brown-sugar baking-powder baking-soda flax-seed-meal salt cinnamon carrots dried-plum","Plum Perfect Muffins","https://lh3.googleusercontent.com/7pwECMSoZBYRgn8BhrwEDgqFFtHWYDe4ZWkAGS-1WPYxJuJaZ_css6qZ44vYI-2qHG7NqKpFs_UlrZLeWyrBXZI=s90","2100","4","Krolls Korner"
"Lemon-Honey-Glazed-Carrots-2045075","0.8333333333333334","0.16666666666666666","0.8333333333333334","0.5","0.5","0.0","olive-oil medium-carrot herbes-de-provence salt honey fresh-lemon-juice","Lemon-Honey Glazed Carrots","https://lh3.googleusercontent.com/fmra-fQBSYRkQHH3tMSeN0tqoVjM05LsnPI7-t_9gVx8-voAd5nkwVp4UOVm2Op-A0b90-UbxmqX51ZgTY6NM2g=s90","1200","4","Girl Gone Gourmet"
"Elizabeths-Lunar-Rhubarb-Cake-2059046","0.16666666666666666","0.16666666666666666","0.5","0.16666666666666666","0.8333333333333334","0.0","butter sugar large-eggs vanilla rhubarb flour baking-soda salt buttermilk brown-sugar cinnamon","Elizabeth’s Lunar Rhubarb Cake","https://lh3.googleusercontent.com/Gc8izprzynYp-ln0Gq860E_l83UKcJzkgbdY4hLsEVddhMnLm7Huzhux5SLhLHJ5qAZ4Ncx0-Q2s4hzYqyru=s90","4200","4","Dinner with Julie"
"Garlicky-Pull-Apart-Bread-for-Lazy-People-1063911","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.16666666666666666","0.16666666666666666","0.0","buttermilk-biscuits grated-parmesan-cheese butter garlic salt ground-black-pepper","Garlicky Pull-Apart Bread for Lazy People","http://lh3.googleusercontent.com/aSkRlTypOG1LV0hz0dugroylLXyb73CRgk2RAjLJjlLVoctIRAHlXumoEVVlovgL0TKxPRZJQegN3fkXAxdBew=s90","2700","4","Frites & Fries"
"Parmesan-Garlic-Roasted-Baby-Potatoes-1619267","0.3333333333333333","0.16666666666666666","0.6666666666666666","0.8333333333333334","0.16666666666666666","0.16666666666666666","grated-parmesan-cheese garlic-powder paprika dried-oregano kosher-salt freshly-ground-black-pepper olive-oil baby-potatoes sour-cream scallions","Parmesan Garlic Roasted Baby Potatoes","https://lh3.googleusercontent.com/HrR5hZZZd0aRLrbs1d-Tn2HX1uD21QvJqohQALlZgG_WrYOXr388_nXVBfCyUTZRo4vEXgXXJ57HiIjDKOzh=s90","3600","4","The Yummy Life"
